id,full_name,email,salary_status,created_at
1,Karsten Wieloch-Bolnbach,karsten.wieloch-bolnbach@example.com,100k - 150k,2026-02-11 12:15:32.478366
2,Bartholomaus Caspar,bartholomaus.caspar@example.com,100k - 150k,2026-02-11 12:15:32.478366
3,Prof. Jorgen Ehlert B.Eng.,prof..jorgen.ehlert.b.eng.@example.com,150k+,2026-02-11 12:15:32.478366
4,Ing. Bernd-Dieter Ullmann MBA.,ing..bernd-dieter.ullmann.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
5,Natalia Klemt,natalia.klemt@example.com,150k+,2026-02-11 12:15:32.478366
6,Imre Wiek,imre.wiek@example.com,100k - 150k,2026-02-11 12:15:32.478366
7,Violetta Flantz,violetta.flantz@example.com,< 50k,2026-02-11 12:15:32.478366
8,Ing. Wolfgang Kohl B.A.,ing..wolfgang.kohl.b.a.@example.com,100k - 150k,2026-02-11 12:15:32.478366
9,Loretta Koster B.Eng.,loretta.koster.b.eng.@example.com,50k - 100k,2026-02-11 12:15:32.478366
10,Heinz Dieter Nette,heinz.dieter.nette@example.com,50k - 100k,2026-02-11 12:15:32.478366
11,Sonia Romer MBA.,sonia.romer.mba.@example.com,150k+,2026-02-11 12:15:32.478366
12,Ing. Margot Radel B.Eng.,ing..margot.radel.b.eng.@example.com,50k - 100k,2026-02-11 12:15:32.478366
13,Evelin Stolze,evelin.stolze@example.com,150k+,2026-02-11 12:15:32.478366
14,Leopold Tintzmann,leopold.tintzmann@example.com,< 50k,2026-02-11 12:15:32.478366
15,Adolf Politz B.Sc.,adolf.politz.b.sc.@example.com,< 50k,2026-02-11 12:15:32.478366
16,Isa Nerger,isa.nerger@example.com,100k - 150k,2026-02-11 12:15:32.478366
17,Ing. Wendelin Kobelt,ing..wendelin.kobelt@example.com,150k+,2026-02-11 12:15:32.478366
18,Herr Maxim Meister,herr.maxim.meister@example.com,150k+,2026-02-11 12:15:32.478366
19,Rene Politz,rene.politz@example.com,50k - 100k,2026-02-11 12:15:32.478366
20,Folkert Steuer-Schuster,folkert.steuer-schuster@example.com,100k - 150k,2026-02-11 12:15:32.478366
21,Dipl.-Ing. Muharrem Lindner,dipl.-ing..muharrem.lindner@example.com,150k+,2026-02-11 12:15:32.478366
22,Erwin Barth-Schmidtke,erwin.barth-schmidtke@example.com,100k - 150k,2026-02-11 12:15:32.478366
23,Sylvana Carsten,sylvana.carsten@example.com,50k - 100k,2026-02-11 12:15:32.478366
24,Sevim Sauberlich-Gnatz,sevim.sauberlich-gnatz@example.com,100k - 150k,2026-02-11 12:15:32.478366
25,Pamela Austermuhle-Hamann,pamela.austermuhle-hamann@example.com,100k - 150k,2026-02-11 12:15:32.478366
26,Maurizio Haering MBA.,maurizio.haering.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
27,Univ.Prof. Erica Horle B.A.,univ.prof..erica.horle.b.a.@example.com,< 50k,2026-02-11 12:15:32.478366
28,Pedro Ehlert,pedro.ehlert@example.com,100k - 150k,2026-02-11 12:15:32.478366
29,Hajo Scheuermann,hajo.scheuermann@example.com,150k+,2026-02-11 12:15:32.478366
30,Loni Becker,loni.becker@example.com,150k+,2026-02-11 12:15:32.478366
31,Horst-Gunter Dowerg,horst-gunter.dowerg@example.com,100k - 150k,2026-02-11 12:15:32.478366
32,Vinko Hamann,vinko.hamann@example.com,< 50k,2026-02-11 12:15:32.478366
33,Univ.Prof. Eric Hofmann,univ.prof..eric.hofmann@example.com,50k - 100k,2026-02-11 12:15:32.478366
34,Lidwina Baum,lidwina.baum@example.com,100k - 150k,2026-02-11 12:15:32.478366
35,Nevenka Eigenwillig,nevenka.eigenwillig@example.com,150k+,2026-02-11 12:15:32.478366
36,Anna-Lena Barer,anna-lena.barer@example.com,150k+,2026-02-11 12:15:32.478366
37,Volkhard Schonland,volkhard.schonland@example.com,100k - 150k,2026-02-11 12:15:32.478366
38,Dipl.-Ing. Norma Ullrich,dipl.-ing..norma.ullrich@example.com,150k+,2026-02-11 12:15:32.478366
39,Folker Krause B.Sc.,folker.krause.b.sc.@example.com,100k - 150k,2026-02-11 12:15:32.478366
40,Leopoldine Pruschke B.Sc.,leopoldine.pruschke.b.sc.@example.com,50k - 100k,2026-02-11 12:15:32.478366
41,Geraldine Heinrich-Geisel,geraldine.heinrich-geisel@example.com,< 50k,2026-02-11 12:15:32.478366
42,Aleksandr Weihmann,aleksandr.weihmann@example.com,100k - 150k,2026-02-11 12:15:32.478366
43,Friedhold Textor,friedhold.textor@example.com,100k - 150k,2026-02-11 12:15:32.478366
44,Prof. Katy Tintzmann,prof..katy.tintzmann@example.com,50k - 100k,2026-02-11 12:15:32.478366
45,Herta Neuschafer,herta.neuschafer@example.com,50k - 100k,2026-02-11 12:15:32.478366
46,Hans-Werner Benthin,hans-werner.benthin@example.com,50k - 100k,2026-02-11 12:15:32.478366
47,Annamaria Losekann,annamaria.losekann@example.com,< 50k,2026-02-11 12:15:32.478366
48,Birthe Roht,birthe.roht@example.com,150k+,2026-02-11 12:15:32.478366
49,H.-Dieter Lehmann,h.-dieter.lehmann@example.com,< 50k,2026-02-11 12:15:32.478366
50,Ing. Grete Schweitzer B.A.,ing..grete.schweitzer.b.a.@example.com,150k+,2026-02-11 12:15:32.478366
51,Prof. Karl-Dieter Fritsch B.A.,prof..karl-dieter.fritsch.b.a.@example.com,150k+,2026-02-11 12:15:32.478366
52,Anke van der Dussen,anke.van.der.dussen@example.com,100k - 150k,2026-02-11 12:15:32.478366
53,Herbert Paffrath MBA.,herbert.paffrath.mba.@example.com,50k - 100k,2026-02-11 12:15:32.478366
54,Heinz-Peter Rohricht-Huhn,heinz-peter.rohricht-huhn@example.com,100k - 150k,2026-02-11 12:15:32.478366
55,Willibald Gunpf,willibald.gunpf@example.com,150k+,2026-02-11 12:15:32.478366
56,Huseyin Soding,huseyin.soding@example.com,150k+,2026-02-11 12:15:32.478366
57,Hans-Eberhard Schacht,hans-eberhard.schacht@example.com,50k - 100k,2026-02-11 12:15:32.478366
58,Eduard Warmer B.A.,eduard.warmer.b.a.@example.com,50k - 100k,2026-02-11 12:15:32.478366
59,Herr Vlado Siering MBA.,herr.vlado.siering.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
60,Eugenia Rust,eugenia.rust@example.com,150k+,2026-02-11 12:15:32.478366
61,Dr. Krista Hande B.Eng.,dr..krista.hande.b.eng.@example.com,< 50k,2026-02-11 12:15:32.478366
62,Herr Zdravko Hellwig,herr.zdravko.hellwig@example.com,50k - 100k,2026-02-11 12:15:32.478366
63,Ingeborg Hornig B.Eng.,ingeborg.hornig.b.eng.@example.com,100k - 150k,2026-02-11 12:15:32.478366
64,Frau Magarete Schmidtke MBA.,frau.magarete.schmidtke.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
65,Ing. Eva-Marie Pieper,ing..eva-marie.pieper@example.com,100k - 150k,2026-02-11 12:15:32.478366
66,Gerolf Lubs,gerolf.lubs@example.com,150k+,2026-02-11 12:15:32.478366
67,Bogdan Wilms,bogdan.wilms@example.com,150k+,2026-02-11 12:15:32.478366
68,Veronica Stumpf B.Sc.,veronica.stumpf.b.sc.@example.com,50k - 100k,2026-02-11 12:15:32.478366
69,Ben Geisel,ben.geisel@example.com,150k+,2026-02-11 12:15:32.478366
70,Gaetano Tintzmann,gaetano.tintzmann@example.com,150k+,2026-02-11 12:15:32.478366
71,Josefa Scholl,josefa.scholl@example.com,150k+,2026-02-11 12:15:32.478366
72,Reinhold Scheibe,reinhold.scheibe@example.com,< 50k,2026-02-11 12:15:32.478366
73,Betti Paffrath,betti.paffrath@example.com,< 50k,2026-02-11 12:15:32.478366
74,Gisbert Dussen van,gisbert.dussen.van@example.com,150k+,2026-02-11 12:15:32.478366
75,Lidija Malzer MBA.,lidija.malzer.mba.@example.com,100k - 150k,2026-02-11 12:15:32.478366
76,Irmhild Krebs,irmhild.krebs@example.com,100k - 150k,2026-02-11 12:15:32.478366
